language,protocol,scenario,response_time_ms,response_size_bytes,status
JS,GraphQL,Simple_Fetch,1.3710980001633288,75,200
Python,REST,Simple_Fetch,3.497841000353219,2337,200
Python,GraphQL,Simple_Fetch,3.075108999837539,77,200
JS,REST,Complex_Fetch,2.1713569994972204,2336,200
JS,GraphQL,Complex_Fetch,1.8601439996928093,1893,200
Python,REST,Complex_Fetch,3.235299999687413,2337,200
Python,GraphQL,Complex_Fetch,61.43992600027559,1621,200
JS,REST,Simple_Fetch,2.877258999433252,1714,200
JS,GraphQL,Simple_Fetch,2.0792440000150236,80,200
Python,REST,Simple_Fetch,3.6948400002074777,1715,200
Python,GraphQL,Simple_Fetch,2.9229040001155226,78,200
JS,REST,Complex_Fetch,2.8349590002108016,1714,200
JS,GraphQL,Complex_Fetch,2.6757720006571617,1369,200
Python,REST,Complex_Fetch,3.694399999403686,1715,200
Python,GraphQL,Complex_Fetch,59.15649000053236,883,200
JS,REST,Simple_Fetch,2.7757389998441795,2439,200
JS,GraphQL,Simple_Fetch,1.3938310003140941,85,200
Python,REST,Simple_Fetch,3.7104599996382603,2440,200
Python,GraphQL,Simple_Fetch,2.86564699945302,79,200
JS,REST,Complex_Fetch,1.896622000458592,2439,200
JS,GraphQL,Complex_Fetch,1.7003650000333437,1982,200
Python,REST,Complex_Fetch,3.1479060007768567,2440,200
Python,GraphQL,Complex_Fetch,58.792807999452634,332,200
JS,REST,Simple_Fetch,2.3517549998359755,1640,200
JS,GraphQL,Simple_Fetch,1.356700999167515,72,200
Python,REST,Simple_Fetch,2.9675579999093316,1641,200
Python,GraphQL,Simple_Fetch,3.273640999395866,78,200
JS,REST,Complex_Fetch,2.081409000311396,1640,200
JS,GraphQL,Complex_Fetch,1.8542629995863535,1311,200
Python,REST,Complex_Fetch,3.176500000336091,1641,200
Python,GraphQL,Complex_Fetch,59.708583000428916,913,200
JS,REST,Simple_Fetch,2.9028870003457996,2725,200
JS,GraphQL,Simple_Fetch,1.6150949995790143,69,200
Python,REST,Simple_Fetch,3.0520459995386773,2726,200
Python,GraphQL,Simple_Fetch,2.885604999391944,80,200
JS,REST,Complex_Fetch,2.172318000702944,2725,200
JS,GraphQL,Complex_Fetch,1.841909000177111,2252,200
Python,REST,Complex_Fetch,3.0068619998928625,2726,200
Python,GraphQL,Complex_Fetch,59.52738399992086,1028,200
JS,REST,Simple_Fetch,2.177749000111362,1769,200
JS,GraphQL,Simple_Fetch,1.4000720002513845,75,200
Python,REST,Simple_Fetch,3.1084419997569057,1770,200
Python,GraphQL,Simple_Fetch,2.760931000011624,75,200
JS,REST,Complex_Fetch,1.9399940001676441,1769,200
JS,GraphQL,Complex_Fetch,1.8261199993503396,1423,200
Python,REST,Complex_Fetch,2.9351969997151173,1770,200
Python,GraphQL,Complex_Fetch,59.18466200000694,86,200
JS,REST,Simple_Fetch,2.9163529998186277,2787,200
JS,GraphQL,Simple_Fetch,1.562085000841762,70,200
Python,REST,Simple_Fetch,3.0448530005742214,2788,200
Python,GraphQL,Simple_Fetch,3.009005999956571,79,200
JS,REST,Complex_Fetch,1.9498020001265104,2787,200
JS,GraphQL,Complex_Fetch,1.838944999690284,2285,200
Python,REST,Complex_Fetch,3.0471979998765164,2788,200
Python,GraphQL,Complex_Fetch,59.66871900000115,1192,200
JS,REST,Simple_Fetch,3.1580650002069888,2073,200
JS,GraphQL,Simple_Fetch,2.0811179992961115,80,200
Python,REST,Simple_Fetch,3.2053939994511893,2074,200
Python,GraphQL,Simple_Fetch,2.8189700005896157,71,200
JS,REST,Complex_Fetch,1.9650310005090432,2073,200
JS,GraphQL,Complex_Fetch,2.375349000431015,1682,200
Python,REST,Complex_Fetch,3.0448930001512053,2074,200
Python,GraphQL,Complex_Fetch,60.023492999789596,906,200
JS,REST,Simple_Fetch,3.4630270001798635,2231,200
JS,GraphQL,Simple_Fetch,2.1011159997215145,81,200
Python,REST,Simple_Fetch,3.1540669997411896,2232,200
Python,GraphQL,Simple_Fetch,3.117238999948313,78,200
JS,REST,Complex_Fetch,2.035100999819406,2231,200
JS,GraphQL,Complex_Fetch,1.9066519998887088,1836,200
Python,REST,Complex_Fetch,3.0382100003407686,2232,200
Python,GraphQL,Complex_Fetch,56.746594999822264,645,200
JS,REST,Simple_Fetch,2.365510999879916,693,200
JS,GraphQL,Simple_Fetch,1.3033010000071954,81,200
Python,REST,Simple_Fetch,2.9465090001394856,694,200
Python,GraphQL,Simple_Fetch,2.6470579996384913,78,200
JS,REST,Complex_Fetch,2.3266680000233464,693,200
JS,GraphQL,Complex_Fetch,1.732945000185282,524,200
Python,REST,Complex_Fetch,2.9773770002066158,694,200
Python,GraphQL,Complex_Fetch,59.53696200049308,961,200
JS,REST,Simple_Fetch,2.891154999815626,2697,200
JS,GraphQL,Simple_Fetch,1.5640890005670371,80,200
Python,REST,Simple_Fetch,3.3578289994693478,2698,200
Python,GraphQL,Simple_Fetch,2.8182080004626187,81,200
JS,REST,Complex_Fetch,2.5440649997108267,2697,200
JS,GraphQL,Complex_Fetch,1.82881599994289,2187,200
Python,REST,Complex_Fetch,3.01310399936483,2698,200
Python,GraphQL,Complex_Fetch,58.36513699978241,1918,200
JS,REST,Simple_Fetch,3.118239999821526,2421,200
JS,GraphQL,Simple_Fetch,1.449895999940054,75,200
Python,REST,Simple_Fetch,3.030044999832171,2422,200
Python,GraphQL,Simple_Fetch,2.562860000580258,73,200
JS,REST,Complex_Fetch,2.473231999829295,2421,200
JS,GraphQL,Complex_Fetch,1.837411999986216,1984,200
